date,hour,price,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2024-05-13,12,145.55,42.22222222222222,729.2666666666667,0.06666666666666668,16.355555555555554,5.477777777777777
2024-05-13,13,146.69,44.55555555555556,734.588888888889,0.05555555555555555,16.811111111111114,5.8999999999999995
2024-05-13,14,166.25,41.111111111111114,701.6111111111111,0.3222222222222222,17.0,6.688888888888889
2024-05-13,15,176.89,35.44444444444444,686.688888888889,0.24444444444444446,17.188888888888886,7.566666666666666
2024-05-13,16,246.3,28.666666666666668,533.7222222222222,0.1111111111111111,17.133333333333336,7.8999999999999995
2024-05-13,17,204.23,25.11111111111111,370.41111111111115,0.13333333333333333,16.71111111111111,8.533333333333333
2024-05-13,18,203.99,23.22222222222222,189.6888888888889,0.022222222222222223,15.733333333333333,9.233333333333334
2024-05-13,19,287.35,18.666666666666668,50.25555555555555,0.011111111111111112,14.18888888888889,6.933333333333333
2024-05-13,20,369.71,10.11111111111111,6.51111111111111,0.022222222222222223,12.522222222222222,7.51111111111111
2024-05-13,21,305.48,12.666666666666666,0.0,0.0,11.933333333333334,8.177777777777779
2024-05-13,22,184.79,17.444444444444443,0.0,0.011111111111111112,11.588888888888889,7.5
2024-05-13,23,170.14,24.88888888888889,0.0,0.011111111111111112,10.933333333333334,7.622222222222224
2024-05-14,0,170.53,27.88888888888889,0.0,0.06666666666666667,10.633333333333333,8.000000000000002
2024-05-14,1,164.78,30.22222222222222,0.0,0.06666666666666667,9.999999999999998,8.011111111111111
2024-05-14,2,146.98,42.111111111111114,0.0,0.044444444444444446,9.399999999999999,7.98888888888889
2024-05-14,3,146.69,39.77777777777778,0.0,0.022222222222222223,9.544444444444444,8.1
2024-05-14,4,164.27,52.44444444444444,0.0,0.03333333333333333,9.022222222222222,7.400000000000001
2024-05-14,5,176.08,51.77777777777778,0.1,0.022222222222222223,8.422222222222224,7.000000000000001
2024-05-14,6,220.05,63.111111111111114,23.322222222222223,0.022222222222222223,9.511111111111111,7.311111111111111
2024-05-14,7,279.68,62.888888888888886,104.52222222222223,0.011111111111111112,11.1,6.422222222222223
2024-05-14,8,266.58,71.44444444444444,268.23333333333335,0.011111111111111112,12.833333333333334,5.644444444444444
2024-05-14,9,203.54,84.0,450.3111111111111,0.011111111111111112,14.433333333333334,5.7555555555555555
2024-05-14,10,182.28,76.77777777777777,580.7000000000002,0.011111111111111112,15.666666666666666,5.699999999999999
2024-05-14,11,174.11,74.55555555555556,660.3555555555554,0.022222222222222223,16.77777777777778,5.655555555555555
2024-05-14,12,155.12,81.44444444444444,701.1444444444445,0.03333333333333334,17.56666666666667,6.688888888888889
2024-05-14,13,156.82,79.33333333333333,706.5444444444445,0.03333333333333334,18.144444444444446,8.0
2024-05-14,14,165.31,92.44444444444444,661.2777777777778,0.022222222222222223,18.433333333333334,8.755555555555555
2024-05-14,15,176.89,81.77777777777777,526.8666666666667,0.03333333333333334,17.855555555555554,8.666666666666666
2024-05-14,16,255.51,83.88888888888889,424.0111111111111,0.022222222222222223,17.677777777777777,9.922222222222224
2024-05-14,17,189.15,88.77777777777777,308.22222222222223,0.011111111111111112,17.266666666666666,10.088888888888889
2024-05-14,18,205.23,92.66666666666667,149.9333333333333,0.0,16.46666666666667,8.733333333333334
2024-05-14,19,299.65,90.22222222222223,47.65555555555555,0.011111111111111112,15.277777777777775,7.5
2024-05-14,20,321.97,85.33333333333333,4.733333333333333,0.2888888888888889,14.233333333333336,7.199999999999999
2024-05-14,21,274.54,92.0,0.0,0.2111111111111111,13.722222222222223,8.18888888888889
2024-05-14,22,177.04,97.44444444444444,0.0,0.23333333333333334,13.377777777777778,7.544444444444443
2024-05-14,23,191.85,99.77777777777777,0.0,0.21111111111111114,13.011111111111113,6.722222222222222
2024-05-15,0,171.58,93.77777777777777,0.0,0.17777777777777778,12.566666666666668,6.1000000000000005
2024-05-15,1,176.22,92.77777777777777,0.0,0.16666666666666669,12.066666666666668,6.122222222222222
2024-05-15,2,171.9,90.55555555555556,0.0,0.21111111111111114,11.91111111111111,7.177777777777777
2024-05-15,3,168.42,99.88888888888889,0.0,0.08888888888888889,11.844444444444443,6.666666666666667
2024-05-15,4,170.16,86.66666666666667,0.0,0.15555555555555556,11.511111111111113,7.811111111111113
2024-05-15,5,182.38,89.88888888888889,0.1,0.2111111111111111,11.344444444444443,8.411111111111111
2024-05-15,6,207.53,99.66666666666667,16.77777777777778,0.28888888888888886,11.511111111111113,9.222222222222221
2024-05-15,7,246.43,89.0,63.388888888888886,0.3444444444444445,11.88888888888889,10.266666666666667
2024-05-15,8,262.51,99.0,134.15555555555554,0.2888888888888889,12.244444444444445,12.033333333333333
2024-05-15,9,221.65,99.88888888888889,205.25555555555556,0.3888888888888889,12.744444444444445,13.02222222222222
2024-05-15,10,176.85,100.0,269.3666666666666,0.4444444444444444,13.144444444444446,13.555555555555555
2024-05-15,11,170.06,100.0,306.05555555555554,0.35555555555555557,13.433333333333334,13.666666666666668
2024-05-15,12,166.64,100.0,316.23333333333335,0.24444444444444446,13.722222222222221,13.688888888888888
2024-05-15,13,162.33,100.0,319.28888888888895,0.21111111111111114,14.044444444444444,13.522222222222222
2024-05-15,14,161.94,99.77777777777777,322.3777777777778,0.37777777777777777,14.311111111111112,13.855555555555556
2024-05-15,15,172.8,96.22222222222223,302.31111111111113,0.2222222222222222,14.322222222222223,12.066666666666666
2024-05-15,16,179.94,96.55555555555556,221.85555555555553,0.08888888888888888,14.233333333333333,10.977777777777778
2024-05-15,17,181.89,95.88888888888889,202.80000000000004,0.044444444444444446,14.255555555555553,11.1
