datetime,kwh,kwhDelta,timeDelta,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,kwhEstimate,kwhIdeal
2024-08-15T12:45:00.0,7383.92,1.4600000000000364,300000 milliseconds,karaisen,34.825,34.49999999999999,14.825000000000003,30.18,0.0,0,,0,0,17.85,5.925000000000001,312.75,1014.5250000000001,0.0,16.750000000000004,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.714364415156545,1.8045941212174157
2024-08-15T12:50:00.0,7385.38,1.4399999999995998,300000 milliseconds,karaisen,34.95,34.633333333333326,14.816666666666668,29.946666666666665,0.0,0,,0,0,18.033333333333335,5.95,309.1666666666667,1014.4833333333333,0.0,16.366666666666667,,,,,Clear,clear-day,"15490099999,15489099999,15525099999,15491099999,LBGO,15498099999",1.6838571907376432,1.7724812534080456
2024-08-15T12:55:00.0,7386.82,1.4099999999998545,300000 milliseconds,karaisen,35.075,34.766666666666666,14.808333333333334,29.71333333333333,0.0,0,,0,0,18.21666666666667,5.975,305.58333333333337,1014.4416666666666,0.0,15.983333333333334,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.6525114118355908,1.739485696669043
2024-08-15T13:00:00.0,7388.23,1.3800000000001091,300000 milliseconds,karaisen,35.2,34.9,14.8,29.48,0.0,0,,0,0,18.4,6.0,302.0,1014.4,0.0,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.620350701801991,1.7056323176863064
2024-08-15T13:05:00.0,7389.61,1.3500000000003638,300000 milliseconds,karaisen,35.300000000000004,35.0,14.791666666666668,29.3125,0.0,0,,0,0,18.424999999999997,6.2,300.3333333333333,1014.3583333333333,0.8583333333333334,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.580178195726309,1.6709468850568596
2024-08-15T13:10:00.0,7390.96,1.3299999999999272,300000 milliseconds,karaisen,35.400000000000006,35.1,14.783333333333335,29.145,0.0,0,,0,0,18.449999999999996,6.4,298.66666666666663,1014.3166666666667,1.7166666666666668,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.5395473867077694,1.6354561214797574
2024-08-15T13:15:00.0,7392.29,1.2899999999999636,300000 milliseconds,karaisen,35.50000000000001,35.2,14.775000000000002,28.9775,0.0,0,,0,0,18.474999999999994,6.6000000000000005,296.99999999999994,1014.2750000000001,2.575,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.4984946322712258,1.5991876847392963
2024-08-15T13:20:00.0,7393.58,1.2600000000002183,300000 milliseconds,karaisen,35.60000000000001,35.300000000000004,14.76666666666667,28.81,0.0,0,,0,0,18.499999999999996,6.800000000000001,295.33333333333326,1014.2333333333335,3.4333333333333336,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.4570567386487165,1.5621702263043533
2024-08-15T13:25:00.0,7394.84,1.199999999999818,300000 milliseconds,karaisen,35.70000000000001,35.400000000000006,14.758333333333336,28.6425,0.0,0,,0,0,18.525,7.000000000000001,293.66666666666663,1014.1916666666668,4.291666666666667,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.415270925074333,1.524433375997508
2024-08-15T13:30:00.0,7396.04,1.1700000000000728,300000 milliseconds,karaisen,35.80000000000001,35.50000000000001,14.750000000000002,28.474999999999998,0.0,0,,0,0,18.549999999999997,7.200000000000001,291.99999999999994,1014.1500000000001,5.15,15.6,,,,,Clear,clear-day,"15490099999,15525399999,15489099999,15491099999,LBGO,15498099999",1.373174863870353,1.4860078082529518
